pop,area
16450,12.08
5030,5.04
625,0.4
2725,2.02
285,0.55
16400,13.16
16720,10.92
1180,1.31
50470,23.42
23080,32.07
16240,4.92
310,0.08
118100,31.92
75220,27.44
2860,2.56
680,1.34
4120,6.78
4650,5.69
15740,9.15
32400,12.28
35810,24.48
2195,1.21
2090,0.64
6480,2.19
4555,4.11
655,1.13
31410,7.3
8400,4.06
16280,12.62
655,0.39
1900,1.14
2980,1.81
2135,1.45
560,0.51
15520,7.45
7045,4.61
3835,7.48
10210,4.18
2350,3.7
7280,2.08
1835,3.21
2810,1.5
2905,3.29
8860,2.7
420,0.5
5020,3.04
190,0.22
845,1.41
3205,7.57
1645,1.56
600,0.99
1025,0.66
1855,1.06
17190,6.43
255,0.41
210,0.29
1485,2.13
1745,1.53
2720,1.4
3235,6.91
29090,6.22
7045,5.91
5845,2.05
11480,3.67
2380,1.72
9560,8.9
40560,9.04
970,1.01
17220,6.87
3140,1.49
241,0.17
331,1.07
1130,1.84
11320,4.09
7025,9.89
101800,34.16
2165,1.12
627,0.63
145,0.32
87390,22.17
10540,7.26
7180,5.56
6270,1.56
3175,3.51
2220,2.01
630,1.26
530,0.66
6780,4.64
2175,1.45
3715,3.18
930,1.09
9150,6.59
2955,1.62
3195,1.7
330,1.06
630,0.37
420,0.4
145,0.65
105,0.36
8845,13.27
480,0.33
1040,2.33
160,0.19
420,0.69
24710,12.26
220,0.35
2105,3.31
11840,8.5
19940,6.1
62520,24.17
86660,29.84
1610,1.03
47890,10.41
1135,0.54
60,0.51
2440,1.44
900,0.43
35870,17.13
350,1
12770,3.68
13350,4.7
58950,20
90,0.29
1060,0.98
192,0.3
2225,1.16
6580,5.52
560,1.25
1460,1.76
35710,14.92
450,0.66
11150,4.63
35490,10.03
2080,0.46
215,0.66
330,0.19
20020,5.62
175,0.21
36210,14.63
3340,0.56
1555,2.02
4695,3.65
2950,1.61
22380,6.2
440,2.4
165,0.33
286,0.19
17620,4.62
1665,0.66
6520,2.38
16290,5.43
3550,10.64
1140,0.88
17440,14.19
485,1
29390,11.72
20810,3.98
2065,1.53
19940,6.14
805,0.42
1492,2.21
205,0.19
9550,4.39
1990,1.16
1075,0.69
6435,2.71
4705,3.54
882,2.47
290,0.54
22690,9.43
420,1
715,0.47
4705,9.3
955,0.97
2445,2.26
44460,19.36
4735,3.79
1710,1.67
5940,2.58
6340,3.07
6055,3.48
1020,1.12
50210,31.42
620,0.43
670,0.62
1520,1.78
19010,10.42
8350,3.92
8865,6.03
7560,4.5
315,0.37
5075,4.02
26860,9.78
36790,12.48
5455,4.48
1705,1.75
3005,4.11
630,0.51
50680,17.03
60290,18.19
985,1
45070,36.25
3680,5.67
1730,1.82
320,0.91
865,0.71
504,0.64
650,1.09
1020,4.3
870,0.59
1885,0.98
750,0.25
40260,21.18
25530,12.58
9945,4.01
6935,4.28
5330,5.8
8895,6.26
53190,12.76
210,1
8970,3.29
8600,6.36
1750,1.24
1770,1.81
580,0.38
440,0.39
275,0.35
202900,59.42
88280,38.22
495,0.51
275,1.13
564,0.41
5200,2.73
130,0.25
6220,2.17
1370,1.48
4530,3.1
1191,1.38
9035,8.4
15130,5.97
201700,49.72
835,1.11
1520,0.92
1200,0.69
685,0.38
990,0.74
9105,2.12
18000,8.77
13340,12.87
980,0.69
5700,4.94
345,0.95
31300,7.97
620,0.84
160800,47.04
1230,1.12
30900,11.92
4540,2.02
2575,2.14
12980,5.06
260,0.62
1180,1.61
120,0.41
30270,7.48
10850,20.38
2335,3.61
2195,1.38
900,1.2
455,0.47
245,1.02
1370,1.47
380,1.23
10390,6.13
4960,3.47
1180,1.04
1370,1.02
82940,24.66
975,0.36
4845,5.82
2660,1.7
